 summary,subscriptionId,calPath,guid,recurrenceId,link,eventlink,status,startallday,startshortdate,startlongdate,startdayname,starttime,startutcdate,startdatetime,starttimezone,endallday,endshortdate,endlongdate,enddayname,endtime,endutcdate,enddatetime,endtimezone,locationaddress,locationlink,contactname,contactphone,contactlink,calendarname,calendardisplayName,calendarpath,calendarencodedPath,categories,description,cost,xproperties 
 AARP Tax Filing Help,,%2Fpublic%2Fcals%2FMainCal,CAL-2a3e9ebb-529c83d2-0152-9dbc48e3-00002828demobedework%40mysite.edu,20160406T150000Z,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=CAL-2a3e9ebb-529c83d2-0152-9dbc48e3-00002828demobedework%40mysite.edu&amp;recurrenceId=20160406T150000Z,CONFIRMED,FALSE,4/6/2016,6-Apr-16,Wednesday,10:00 AM,20160406T150000Z,20160406T100000,America/Chicago,FALSE,4/6/2016,6-Apr-16,Wednesday,2:00 PM,20160406T190000Z,20160406T140000,America/Chicago,Green Hills,http://www.library.nashville.org/locations/loc_greenhills.asp,Green Hills,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Adults,location/Green Hills,Money and Taxes,Locations","Feb. 1, 3, 8 and 29\nMondays and Wednesdays, March 2 through April 18 \n10 am - 2 pm\n\nPlease bring photo identification for the taxpayer and spouse and Social Security Cards for everyone listed on the return.  A copy of last year&rsquo;s tax return and other relevant tax documents will be required.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Adults,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Money and Taxes,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Green Hills,X-BEDEWORK-SUBMITTEDBY : values : text : alprice for calsuite-MainCampus (agrp_calsuite-MainCampus) "
 Getting Started with Hoopla,,%2Fpublic%2Fcals%2FMainCal,20160210-000040-GREENHILLS-201604061030%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160210-000040-GREENHILLS-201604061030%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,4/6/2016,6-Apr-16,Wednesday,10:30 AM,20160406T153000Z,20160406T103000,America/Chicago,FALSE,4/6/2016,6-Apr-16,Wednesday,12:00 PM,20160406T170000Z,20160406T120000,America/Chicago,Green Hills,http://www.library.nashville.org/locations/loc_greenhills.asp,Green Hills,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Adults,location/Green Hills,Computers and Technology,Locations,Series","Find out how to access all that Hoopla has to offer &ndash; ebooks, comics, music, audiobooks, movies, and TV shows! Bring your library card information and a mobile device if you have one. Registration is required. Please call (615) 862-5863 ext. 3 to reserve a spot.  ",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Green Hills,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Adults,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Computers and Technology "
 Little Learners: Hawaiian Odyssey,,%2Fpublic%2Fcals%2FMainCal,20160210-000099-GREENHILLS-201604061030%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160210-000099-GREENHILLS-201604061030%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,4/6/2016,6-Apr-16,Wednesday,10:30 AM,20160406T153000Z,20160406T103000,America/Chicago,FALSE,4/6/2016,6-Apr-16,Wednesday,10:30 AM,20160406T153000Z,20160406T103000,America/Chicago,Green Hills,http://www.library.nashville.org/locations/loc_greenhills.asp,Green Hills,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"location/Green Hills,series/Community of Many Faces,Health and Wellness,Children,Locations,Series","Join us as we travel to the islands of Hawaii! We will learn a hula dance, listen to a story from Hawaii, and explore the swaying palm trees, ocean waves, and exotic creatures of this beautiful land through yoga and creative movement.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Green Hills,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Childrens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Series/Community of Many Faces,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Health and Wellness,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Story Time "
 Teen Time,,%2Fpublic%2Fcals%2FMainCal,CAL-2a3e9ebb-52d0037e-0152-d1600bb6-00004548demobedework%40mysite.edu,20160406T190000Z,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=CAL-2a3e9ebb-52d0037e-0152-d1600bb6-00004548demobedework%40mysite.edu&amp;recurrenceId=20160406T190000Z,CONFIRMED,FALSE,4/6/2016,6-Apr-16,Wednesday,2:00 PM,20160406T190000Z,20160406T140000,America/Chicago,FALSE,4/6/2016,6-Apr-16,Wednesday,4:30 PM,20160406T213000Z,20160406T163000,America/Chicago,Green Hills,http://www.library.nashville.org/locations/loc_greenhills.asp,Green Hills,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Arts and Crafts,location/Green Hills,Teens,Locations","When school is in session, hang out after school, do homework, or join us for arts, crafts, gaming, movies, and more! For teens ages 12-18 in grades 7-12.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Teens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Green Hills,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Arts and Crafts,X-BEDEWORK-SUBMITTEDBY : values : text : kcook for calsuite-MainCampus (agrp_calsuite-MainCampus) "
 Studio NPL: Digital Programs,,%2Fpublic%2Fcals%2FMainCal,CAL-2a3e9ebb-52d0037e-0152-d164155e-00004b42demobedework%40mysite.edu,20160406T193000Z,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=CAL-2a3e9ebb-52d0037e-0152-d164155e-00004b42demobedework%40mysite.edu&amp;recurrenceId=20160406T193000Z,CONFIRMED,FALSE,4/6/2016,6-Apr-16,Wednesday,2:30 PM,20160406T193000Z,20160406T143000,America/Chicago,FALSE,4/6/2016,6-Apr-16,Wednesday,5:00 PM,20160406T220000Z,20160406T170000,America/Chicago,Green Hills,http://www.library.nashville.org/locations/loc_greenhills.asp,Green Hills,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"series/Studio NPL,location/Green Hills,Teens,Locations,Series","Every Monday, Wednesday and Thursday when school is in session. Join us in the Teen Center and use innovative technology tools to produce 3D printed designs, music, podcasts, videos, electronics, and more. For teens ages 12-18 in grades 7-12.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Green Hills,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Teens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/series/Studio NPL,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Green Hills,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Series/Studio NPL,X-BEDEWORK-THUMB-IMAGE : values : text : http://www.library.nashville.org/images/bedework/studioNPL_Logo_thumb.jpg,X-BEDEWORK-IMAGE : values : text : http://www.library.nashville.org/images/bedework/studioNPL_Logo_290x290.jpg,X-BEDEWORK-SUBMITTEDBY : values : text : kcook for calsuite-MainCampus (agrp_calsuite-MainCampus) "
 Play and Learn,,%2Fpublic%2Fcals%2FMainCal,20160210-000111-GREENHILLS-201603301500%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160210-000111-GREENHILLS-201603301500%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,4/6/2016,6-Apr-16,Wednesday,3:00 PM,20160406T200000Z,20160406T150000,America/Chicago,FALSE,4/6/2016,6-Apr-16,Wednesday,6:00 PM,20160406T230000Z,20160406T180000,America/Chicago,Green Hills,http://www.library.nashville.org/locations/loc_greenhills.asp,Green Hills,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"location/Green Hills,Children,Locations,Series",Did you know young children do the majority of their learning through play? There are many other benefits as well! Drop in between 3:00 and 6:00 and play carefully selected games with your children. They'll be learning as they have fun in a relaxed environment! For children 2-6 years old.,,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Green Hills,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Childrens "
 Teen Time,,%2Fpublic%2Fcals%2FMainCal,CAL-2a3e9ebb-52d0037e-0152-d1600bb6-00004548demobedework%40mysite.edu,20160407T190000Z,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=CAL-2a3e9ebb-52d0037e-0152-d1600bb6-00004548demobedework%40mysite.edu&amp;recurrenceId=20160407T190000Z,CONFIRMED,FALSE,4/7/2016,7-Apr-16,Thursday,2:00 PM,20160407T190000Z,20160407T140000,America/Chicago,FALSE,4/7/2016,7-Apr-16,Thursday,4:30 PM,20160407T213000Z,20160407T163000,America/Chicago,Green Hills,http://www.library.nashville.org/locations/loc_greenhills.asp,Green Hills,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Arts and Crafts,location/Green Hills,Teens,Locations","When school is in session, hang out after school, do homework, or join us for arts, crafts, gaming, movies, and more! For teens ages 12-18 in grades 7-12.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Teens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Green Hills,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Arts and Crafts,X-BEDEWORK-SUBMITTEDBY : values : text : kcook for calsuite-MainCampus (agrp_calsuite-MainCampus) "
 Studio NPL: Digital Programs,,%2Fpublic%2Fcals%2FMainCal,CAL-2a3e9ebb-52d0037e-0152-d164155e-00004b42demobedework%40mysite.edu,20160407T193000Z,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=CAL-2a3e9ebb-52d0037e-0152-d164155e-00004b42demobedework%40mysite.edu&amp;recurrenceId=20160407T193000Z,CONFIRMED,FALSE,4/7/2016,7-Apr-16,Thursday,2:30 PM,20160407T193000Z,20160407T143000,America/Chicago,FALSE,4/7/2016,7-Apr-16,Thursday,5:00 PM,20160407T220000Z,20160407T170000,America/Chicago,Green Hills,http://www.library.nashville.org/locations/loc_greenhills.asp,Green Hills,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"series/Studio NPL,location/Green Hills,Teens,Locations,Series","Every Monday, Wednesday and Thursday when school is in session. Join us in the Teen Center and use innovative technology tools to produce 3D printed designs, music, podcasts, videos, electronics, and more. For teens ages 12-18 in grades 7-12.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Green Hills,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Teens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/series/Studio NPL,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Green Hills,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Series/Studio NPL,X-BEDEWORK-THUMB-IMAGE : values : text : http://www.library.nashville.org/images/bedework/studioNPL_Logo_thumb.jpg,X-BEDEWORK-IMAGE : values : text : http://www.library.nashville.org/images/bedework/studioNPL_Logo_290x290.jpg,X-BEDEWORK-SUBMITTEDBY : values : text : kcook for calsuite-MainCampus (agrp_calsuite-MainCampus) "
 Big Kids Club: The People of Japan,,%2Fpublic%2Fcals%2FMainCal,20160201-000124-GREENHILLS-201603311600%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160201-000124-GREENHILLS-201603311600%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,4/7/2016,7-Apr-16,Thursday,4:00 PM,20160407T210000Z,20160407T160000,America/Chicago,FALSE,4/7/2016,7-Apr-16,Thursday,5:00 PM,20160407T220000Z,20160407T170000,America/Chicago,Green Hills,http://www.library.nashville.org/locations/loc_greenhills.asp,Green Hills,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Arts and Crafts,location/Green Hills,series/Community of Many Faces,Children,Locations,Series","The Global Education Center will present Passport to Understanding, an interactive journey through the music, toys, crafts, dance, and other traditions of Japan.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Green Hills,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Childrens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Series/Community of Many Faces,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Arts and Crafts,X-BEDEWORK-SUBMITTEDBY : values : text : kcook for calsuite-MainCampus (agrp_calsuite-MainCampus) "
 Discovery Club ,,%2Fpublic%2Fcals%2FMainCal,20160201-000133-GREENHILLS-201603111030%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160201-000133-GREENHILLS-201603111030%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,4/8/2016,8-Apr-16,Friday,10:30 AM,20160408T153000Z,20160408T103000,America/Chicago,FALSE,4/8/2016,8-Apr-16,Friday,10:30 AM,20160408T153000Z,20160408T103000,America/Chicago,Green Hills,http://www.library.nashville.org/locations/loc_greenhills.asp,Green Hills,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"location/Green Hills,Children,Locations,Series","Fridays, March 11, April 8, May 13. Homeschooled kids ages 5-10 are invited to join us at the library as we explore new topics together and create cool things!",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Green Hills,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Childrens "
 Teen Time,,%2Fpublic%2Fcals%2FMainCal,CAL-2a3e9ebb-52d0037e-0152-d1600bb6-00004548demobedework%40mysite.edu,20160408T190000Z,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=CAL-2a3e9ebb-52d0037e-0152-d1600bb6-00004548demobedework%40mysite.edu&amp;recurrenceId=20160408T190000Z,CONFIRMED,FALSE,4/8/2016,8-Apr-16,Friday,2:00 PM,20160408T190000Z,20160408T140000,America/Chicago,FALSE,4/8/2016,8-Apr-16,Friday,4:30 PM,20160408T213000Z,20160408T163000,America/Chicago,Green Hills,http://www.library.nashville.org/locations/loc_greenhills.asp,Green Hills,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Arts and Crafts,location/Green Hills,Teens,Locations","When school is in session, hang out after school, do homework, or join us for arts, crafts, gaming, movies, and more! For teens ages 12-18 in grades 7-12.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Teens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Green Hills,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Arts and Crafts,X-BEDEWORK-SUBMITTEDBY : values : text : kcook for calsuite-MainCampus (agrp_calsuite-MainCampus) "
 Alebrijes Art Workshop with Jairo Prado,,%2Fpublic%2Fcals%2FMainCal,20160203-000262-GREENHILLS-201603141400%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160203-000262-GREENHILLS-201603141400%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,4/8/2016,8-Apr-16,Friday,3:00 PM,20160408T200000Z,20160408T150000,America/Chicago,FALSE,4/8/2016,8-Apr-16,Friday,3:00 PM,20160408T200000Z,20160408T150000,America/Chicago,Green Hills,http://www.library.nashville.org/locations/loc_greenhills.asp,Green Hills,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Arts and Crafts,location/Green Hills,Teens,series/Community of Many Faces,Locations,Series","&quot;Alebrijes&quot; are brightly painted and textured sculptures representing animals and other dream-like creatures, a folk art tradition originating in Oaxaca, Mexico.&nbsp;Guided by artist Jairo Prado, participants will have the opportunity to conceptualize, construct, paint, and take home their own stylized alebrijes using recycled wood materials.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Green Hills,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Teens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Series/Community of Many Faces,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Arts and Crafts "
 READing Paws,,%2Fpublic%2Fcals%2FMainCal,20160201-000142-GREENHILLS-201604021030%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160201-000142-GREENHILLS-201604021030%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,4/9/2016,9-Apr-16,Saturday,1:00 PM,20160409T180000Z,20160409T130000,America/Chicago,FALSE,4/9/2016,9-Apr-16,Saturday,1:00 PM,20160409T180000Z,20160409T130000,America/Chicago,Green Hills,http://www.library.nashville.org/locations/loc_greenhills.asp,Green Hills,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"location/Green Hills,Health and Wellness,Children,Locations,Series","2nd and 4th Saturdays. Visit the story room for a chance to cuddle up with a canine friend who will listen while you read. Bring your own book or choose one from the library. Registration is required so call (615) 862-5863, extension 3 to reserve your spot!",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Green Hills,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Childrens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Health and Wellness "
 Artsy Afternoons,,%2Fpublic%2Fcals%2FMainCal,20160201-000143-GREENHILLS-201604091300%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160201-000143-GREENHILLS-201604091300%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,4/9/2016,9-Apr-16,Saturday,3:00 PM,20160409T200000Z,20160409T150000,America/Chicago,FALSE,4/9/2016,9-Apr-16,Saturday,3:00 PM,20160409T200000Z,20160409T150000,America/Chicago,Green Hills,http://www.library.nashville.org/locations/loc_greenhills.asp,Green Hills,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Arts and Crafts,location/Green Hills,Children,Locations,Series","Easy and fun, no-rules-apply art experiments! Find your artistic side as we explore a different media each month in this open-ended art program for ages 3-5.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Green Hills,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Childrens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Arts and Crafts "
 Carnegie Writers Group,,%2Fpublic%2Fcals%2FMainCal,20160210-000007-GREENHILLS-201604091500%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160210-000007-GREENHILLS-201604091500%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,4/9/2016,9-Apr-16,Saturday,3:00 PM,20160409T200000Z,20160409T150000,America/Chicago,FALSE,4/9/2016,9-Apr-16,Saturday,4:30 PM,20160409T213000Z,20160409T163000,America/Chicago,Green Hills,http://www.library.nashville.org/locations/loc_greenhills.asp,Green Hills,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Adults,location/Green Hills,Writing,Locations,Series",2nd and 4th Saturday of each month. The Carnegie Writers Group is a community peer to peer writing group for diverse writers in all stages and genres of writing.,,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Green Hills,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Adults,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Writing "
 Play and Learn,,%2Fpublic%2Fcals%2FMainCal,20160201-000157-GREENHILLS-201604031400%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160201-000157-GREENHILLS-201604031400%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,4/10/2016,10-Apr-16,Sunday,2:00 PM,20160410T190000Z,20160410T140000,America/Chicago,FALSE,4/10/2016,10-Apr-16,Sunday,4:30 PM,20160410T213000Z,20160410T163000,America/Chicago,Green Hills,http://www.library.nashville.org/locations/loc_greenhills.asp,Green Hills,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"location/Green Hills,Children,Locations,Series",Every Sunday. Did you know young children do the majority of their learning through play? There are many other benefits as well! Drop in between 2:00 and 4:30 and play carefully selected games with your children. They'll be learning as they have fun in a relaxed environment! For children 2-6 years old.,,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Green Hills,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Childrens "
 AARP Tax Filing Help,,%2Fpublic%2Fcals%2FMainCal,CAL-2a3e9ebb-529c83d2-0152-9dbc48e3-00002828demobedework%40mysite.edu,20160411T150000Z,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=CAL-2a3e9ebb-529c83d2-0152-9dbc48e3-00002828demobedework%40mysite.edu&amp;recurrenceId=20160411T150000Z,CONFIRMED,FALSE,4/11/2016,11-Apr-16,Monday,10:00 AM,20160411T150000Z,20160411T100000,America/Chicago,FALSE,4/11/2016,11-Apr-16,Monday,2:00 PM,20160411T190000Z,20160411T140000,America/Chicago,Green Hills,http://www.library.nashville.org/locations/loc_greenhills.asp,Green Hills,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"Adults,location/Green Hills,Money and Taxes,Locations","Feb. 1, 3, 8 and 29\nMondays and Wednesdays, March 2 through April 18 \n10 am - 2 pm\n\nPlease bring photo identification for the taxpayer and spouse and Social Security Cards for everyone listed on the return.  A copy of last year&rsquo;s tax return and other relevant tax documents will be required.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Adults,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Money and Taxes,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Green Hills,X-BEDEWORK-SUBMITTEDBY : values : text : alprice for calsuite-MainCampus (agrp_calsuite-MainCampus) "
 Toddler Tales,,%2Fpublic%2Fcals%2FMainCal,20160201-000053-GREENHILLS-201604111030%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160201-000053-GREENHILLS-201604111030%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,4/11/2016,11-Apr-16,Monday,10:30 AM,20160411T153000Z,20160411T103000,America/Chicago,FALSE,4/11/2016,11-Apr-16,Monday,10:30 AM,20160411T153000Z,20160411T103000,America/Chicago,Green Hills,http://www.library.nashville.org/locations/loc_greenhills.asp,Green Hills,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"location/Green Hills,Children,Story Time,Locations,Series","Miss Kristi presents Toddler Tales, full of stories and songs for 1 and 2 year olds.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Green Hills,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Childrens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Story Time "
 Toddler Tales,,%2Fpublic%2Fcals%2FMainCal,20160201-000065-GREENHILLS-201604111115%40LIBRARY.NASHVILLE.ORG,,,http://events.library.nashville.org/feeder/feeder/event/eventView.do?b=de&amp;calPath=%2Fpublic%2Fcals%2FMainCal&amp;guid=20160201-000065-GREENHILLS-201604111115%40LIBRARY.NASHVILLE.ORG&amp;recurrenceId=,CONFIRMED,FALSE,4/11/2016,11-Apr-16,Monday,11:15 AM,20160411T161500Z,20160411T111500,America/Chicago,FALSE,4/11/2016,11-Apr-16,Monday,11:15 AM,20160411T161500Z,20160411T111500,America/Chicago,Green Hills,http://www.library.nashville.org/locations/loc_greenhills.asp,Green Hills,,,MainCal,MainCal,/public/cals/MainCal,%2Fpublic%2Fcals%2FMainCal,"location/Green Hills,Children,Story Time,Locations,Series","Miss Kristi presents Toddler Tales, full of stories and songs for 1 and 2 year olds.",,"X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Locations/Green Hills,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Childrens,X-BEDEWORK-ALIAS : values : text : /user/agrp_calsuite-MainCampus/Browse By Topic/Story Time "
